titulo_documento_origem,titulo_documento_destino,Recomendacoes
Jalapão - Passeio pelas Dunas,Monumento Nacional Cânion de Chelly,2
Circuito W - A Chegada ao Parque Torres del Paine,Monumento Natural Bosques Petrificados,4
Revelando a Foto - Preto e branco em San Francisco,Monumento Natural Bosques Petrificados,4
Revelando a Foto - Amanhecer em Morada Nova de Minas,Monumento Natural Bosques Petrificados,3
Revelando a Foto - Rio del Diablo,Monumento Natural Bosques Petrificados,3
Parque Nacional Lanín - Navegando pelos Lagos Huechulafquen e Epulafquen,Monumento Natural Bosques Petrificados,2
Jalapão - Alimentação,Monumento Natural das Árvores Fossilizadas do Tocantins,26
Jalapão - Prainha,Monumento Natural das Árvores Fossilizadas do Tocantins,13
Jalapão - O que Levar?,Monumento Natural das Árvores Fossilizadas do Tocantins,13
Jalapão - Acampamento Korubo,Monumento Natural das Árvores Fossilizadas do Tocantins,10
Palmas - Pôr do Sol na Ilha da Canela,Monumento Natural das Árvores Fossilizadas do Tocantins,7
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Monumento aos Pescadores,8
São Luís - Post Índice,Monumento aos Pescadores,6
Mariana - Um Passeio Pela Cidade Histórica,Monumento aos Pescadores,3
Revelando a Foto - Cinderela no Magic Kingdom,Monumento aos Pescadores,3
Bariloche - Centro Cívico,Monumento aos Pescadores,2
Revelando a Foto - Arches National Park,Monumentos naturais da Argentina,1
Revelando a Foto - Flores no Epcot,Monumentos naturais da Argentina,1
Revelando a Foto - Paisagem da Alaska Railroad,Monumentos naturais da Argentina,1
Circuito W - Las Torres del Paine,Moose Creek,2
Revelando a Foto - Pôr do Sol no Porto em Fernando de Noronha,Moose Creek,1
Revelando a Foto - Reflexos no Barco,Moose Pass,1
Revelando a Foto - Estrada em Morada Nova de Minas,Moratória da Soja,4
Revelando a Foto - Macrofotografia em Itacaré,Moratória da Soja,3
Fernando de Noronha - Pousada del Mares,Moratória da Soja,3
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Moratória da Soja,2
Islândia - Como se Manter Conectado,Moratória da Soja,2
Blogueiros Por Minas - Parque Estadual do Rio Preto,Morro Cabeludo,11
Parque Estadual do Rio Preto - O Que Fazer?,Morro Cabeludo,8
Blogueiros Por Minas - Parque Estadual do Rio Doce,Morro Cabeludo,7
Parque Estadual do Rio Preto - Trilha do Cerrado,Morro Cabeludo,7
Kenai Fjords National Park - Passeio de Barco no Alasca,Morro Cabeludo,6
Revelando a Foto - Igrejas em Mariana,Morro Itacolomi,10
Puerto Natales - Restaurante La Picada de Carlitos,Morro Itacolomi,9
"Vídeo de Mariana, Minas Gerais",Morro Itacolomi,7
Revelando a Foto - Vista Aérea do Grand Canyon,Morro Itacolomi,6
Belo Horizonte - Mirante do Mangabeiras,Morro Itacolomi,4
Santa Catarina na Bagagem e a Praia do Rosa,Morro da Boa Vista,13
Praia do Rosa - Trilha para a Praia Vermelha,Morro da Boa Vista,12
Praia do Rosa - Pousada Vida Sol e Mar,Morro da Boa Vista,8
Praia do Rosa - Trilha para o Mirante do Canto Sul,Morro da Boa Vista,8
Revelando a Foto - Pescador na Praia Vermelha,Morro da Boa Vista,8
São Luís - Igreja da Sé,Morro da Igreja,6
Curitiba - Mercado Municipal,Morro da Igreja,4
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Morro da Igreja,2
Barcelona - Mercat de la Boqueria,Morro da Igreja,2
Blogs de Viagens,Morro da Igreja,2
Revelando a Foto - Igreja Nossa Senhora do Carmo,Morro do Aldeão,8
Tiradentes e São João Del Rei em 50mm,Morro do Aldeão,6
Revelando a Foto - Niagara Falls,Morro do Aldeão,6
Barcelona - Mercat de la Boqueria,Morro do Aldeão,5
Belo Horizonte - Degustação de Sorvetes na Alessa,Morro do Aldeão,5
Fernando de Noronha - Ilha Tour,Morro do Cambirela,5
El Calafate - Mini Trekking no Perito Moreno,Morro do Cambirela,4
El Chaltén - Trilha para o Chorrillo del Salto,Morro do Cambirela,4
Circuito W - A Chegada ao Parque Torres del Paine,Morro do Cambirela,2
El Chalten - Trilha para a Laguna del Diablo,Morro do Cambirela,2
Blogagem Coletiva - 12 Posts Especiais de 2012,Morro do Osso,5
Bariloche - Cerro Campanario,Morro do Osso,2
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Morro do Osso,2
Puerto Natales - Um descanso antes do Circuito W,Morro do Osso,2
Bariloche - Isla Victoria y Bosque de Arrayanes,Morro do Pico,3
Revelando a Foto - Moldura da Praia do Sancho,Morro do Pico,3
Revelando a Foto - Romance em Fernando de Noronha,Morro do Pico,3
Bariloche - Cerro Tronador e Cascada los Alerces,Morro do Pico,1
Blogagem Coletiva - Cores de Viagem,Morro do Pico,1
Rota dos Sete Lagos - De Bariloche a San Martín de los Andes,Mortenson Lake National Wildlife Refuge,2
Seward Highway - Alaska Wildlife Conservation Center,Mortenson Lake National Wildlife Refuge,1
Revelando a Foto - Bear Lake State Tabernacle,Mosquito Lake,4
Nova Zelândia - O Incrível Azul das Blue Pools,Mosquito Lake,1
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,Mount Lee,1
Curitiba - Artesanilo Café Bistrô,Mountain Village (Alasca),1
Fernando de Noronha - Mergulho,Mountain Village (Alasca),1
Tiradentes - Loja Imperial Pewter,Mu Torere,44
Tauá Grande Hotel e Termas de Araxá,Mu Torere,22
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Mu Torere,10
Revelando a Foto - Lago do Tauá Grande Hotel de Araxá,Mu Torere,10
Revelando a Foto - Metropolitan,Mu Torere,10
El Calafate - Mini Trekking no Perito Moreno,Mud Bay,1
Revelando a Foto - Blue Pools,Mud Bay,1
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,Mulher de Pedra,8
Revelando a Foto - Old Faithful Geyser,Mulher de Pedra,3
Fernando de Noronha - Mergulho,Mulher de Pedra,2
Revelando a Foto - Escadas da Sagrada Família,Mulher de Pedra,2
Revelando a Foto - Especial de Natal,Mulher de Pedra,2
Revelando a Foto - Forrest Gump Point e Monument Valley,Mullan Road,13
Washington DC - Hotel Capital Hilton,Mullan Road,7
Revelando a Foto - Vassouras,Mullan Road,6
Islândia - Como Dirigir,Mullan Road,2
Revelando a Foto - Amanhecer em Morada Nova de Minas,Mullan Road,2
Revelando a Foto - Igreja Nossa Senhora do Carmo,Município (Argentina),4
Palmas - Pôr do Sol na Ilha da Canela,Município (Argentina),2
Revelando a Foto - Prédios em NY,Município (Argentina),1
Revelando a Foto - Vitral,Município (Argentina),1
Revelando a Foto - Capitólio,"Município de Boston (condado de Summit, Ohio)",5
Revelando a Foto - Pássaro em San Francisco,"Município de Boston (condado de Summit, Ohio)",4
Revelando a Foto - Yellowstone National Park,"Município de Boston (condado de Summit, Ohio)",3
Dicas - Como se Comportar em Habitats de Ursos,"Município de Boston (condado de Summit, Ohio)",2
Revelando a Foto - Mount Moran,"Município de Boston (condado de Summit, Ohio)",2
Revelando a Foto - Ponte do Brooklyn em NY,Museu do Eucalipto,6
Revelando a Foto - Preto e branco em San Francisco,Museu do Eucalipto,6
Blogagem Coletiva - Cores de Viagem,Museu do Eucalipto,4
Porque Gostamos de Voar pela LAN,Museu do Eucalipto,4
Revelando a Foto - Igreja São Francisco de Assis em Diamantina,Museu do Eucalipto,4
Revelando a Foto - São João em São Luís,Mystic Falls (cachoeira),1
Routeburn Track - Caminhando pelas montanhas até o Lake Mackenzie,Mystic Falls (cachoeira),1
Santiago - Catedral Metropolitana de Santiago,Mystic Falls (cachoeira),1
Revelando a Foto - Government Gardens em Rotorua,Nambassa,13
Jalapão - Alimentação,Nambassa,8
Jalapão - Acampamento Korubo,Nambassa,6
Jalapão - Canoagem no Rio Novo,Nambassa,6
Jalapão - Cânion Sussuapara,Nambassa,6
Revelando a Foto - Mount Moran,Nanwalek (Alasca),1
Revelando a Foto - Romance em Fernando de Noronha,Napakiak (Alasca),2
Hobbiton - Cidade dos Hobbits na Nova Zelândia,Napier,6
Mandacaru - A Melhor Caipirinha de Caju,Napier,4
Revelando a Foto - Jokhang Temple em Lhasa,Napier,3
Revelando a Foto - Capela das Velas em Aparecida,Napier,2
Routeburn Track - Caminhando pelas montanhas até o Lake Mackenzie,Napier,2
Revelando a Foto - Mount Moran,Naukati Bay (Alasca),1
Revelando a Foto - Praia do Aventureiro,Nelson Lakes National Park,1
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,Nevado El Fraile,3
Atacama - Salar de Tara,Nevado El Fraile,2
Atacama - Salar de Atacama,Nevado El Fraile,1
Atacama - Valle del Arcoiris,Nevado El Fraile,1
Chile - Não Durma no Voo,Nevado El Fraile,1
Circuito W - Las Torres del Paine,Nevado Juncal,3
Puerto Natales - Um descanso antes do Circuito W,Nevado Juncal,2
Alasca - Visitando o Denali National Park and Preserve,Nevado Juncal,2
Verão no Chile - Cuidado com os Tábanos,Nevado Juncal,2
"Saltos del Petrohué, linda paisagem da Região dos Lagos do Chile",Nevado Juncal,2
Atacama e Salar de Uyuni - Roteiro,Nevado San Francisco,4
Belo Horizonte - Mirante do Mangabeiras,Nevado San Francisco,2
Atacama - Valle del Arcoiris,Nevado San Francisco,1
Puerto Octay - Arquitetura Alemã e Vulcões,Nevado San Francisco,1
Puerto Octay - Restaurante Rancho Espantapájaros,Nevado San Francisco,1
El Chaltén - Lago del Desierto e Glaciar Huemul,Nevado Tres Cruces,3
Porque Gostamos de Voar pela LAN,Nevado Tres Cruces,1
El Calafate - Estancia Cristina,Nevado de Cachi,5
Santiago - Catedral Metropolitana de Santiago,Nevado de Cachi,5
Santiago - Palacio de la Moneda,Nevado de Cachi,5
Seward Highway - Entre Montanhas e Glaciares no Alasca,Nevado de Cachi,5
Tauá Grande Hotel e Termas de Araxá - Lazer,Nevado de Cachi,5
I Encontro de Inverno de Blogueiros de Viagem,Nevoeiro de São Francisco,17
Amanhecer em El Chaltén - Mirador de Los Condores,Nevoeiro de São Francisco,14
São Luís - Conhecendo o São João do Maranhão,Nevoeiro de São Francisco,14
Tiradentes e São João Del Rei em 50mm,Nevoeiro de São Francisco,14
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Nevoeiro de São Francisco,13
Santiago - City Tour em Ônibus Hop-On Hop-Off,New Plymouth,2
Barcelona - Curso de Fotografia ,New Plymouth,1
Revelando a Foto - Galeria Adriana Varejão,New Plymouth,1
Curitiba - Cupcake Company,Newhalen,1
Revelando a Foto - Visão de Formiga em Tiradentes,Nordeste oriental,10
Revelando a Foto - Igreja São Francisco de Assis em Diamantina,Nordeste oriental,4
Revelando a Foto - Capela das Velas em Aparecida,Nordeste oriental,3
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Nordeste oriental,2
Bariloche - Centro Cívico,Nordeste oriental,2
El Calafate - Tour ao Glaciar Perito Moreno,Norte Chico do Chile,2
Chapada dos Guimarães - Mirante Morro dos Ventos,Norte Chico do Chile,1
Revelando a Foto - Trekking no Glaciar Perito Moreno,Norte Chico do Chile,1
Santiago - Bairro Paris-Londres,Norte Chico do Chile,1
Santiago - Catedral Metropolitana de Santiago,Norte Chico do Chile,1
Revelando a Foto - Vulcão Osorno,Norte Grande do Chile,16
Seward Highway - Entre Montanhas e Glaciares no Alasca,Norte Grande do Chile,5
El Calafate - Estancia Cristina,Norte Grande do Chile,5
,Norte Grande do Chile,4
Revelando a Foto - Catedral de Barcelona,Norte Grande do Chile,4
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,Northland (região),3
Revelando a Foto - Praça Minas Gerais em Mariana,Northland (região),2
Revelando a Foto - Ponte do Brooklyn em NY,Northland (região),2
Revelando a Foto - Luz em Movimento em Diamantina,Northland (região),1
Revelando a Foto - Vagão de Trem em Campinas,Northland (região),1
Hobbiton - Cidade dos Hobbits na Nova Zelândia,Norton Sound,8
Nova Zelândia - O Incrível Azul das Blue Pools,Norton Sound,5
Fernando de Noronha - Ilha Tour,Norton Sound,3
Kenai Fjords National Park - Trilha para o Harding Icefield,Norton Sound,3
El Calafate - Passeio de Barco por Todos Los Glaciares,Norton Sound,2
Hard Rock Hotel & Casino Punta Cana - Suíte Caribe,Nova Ulster,9
Revelando a Foto - Textura no Yellowstone,Nova Ulster,9
Vídeo - Episódio Music Lab no Hard Rock Hotel & Casino Punta Cana,Nova Ulster,9
Inhotim - Em Busca da Flor Cadáver,Nova Ulster,9
Revelando a Foto - Amanhecer no John Moulton Barn,Nova Ulster,8
Bariloche - Um Hotel de Encher os Olhos,Novarupta,1
Nova Zelândia - Visitando Wanaka,Novarupta,1
Mandacaru - A Melhor Caipirinha de Caju,Nugget Point,4
Vassouras - Lar dos Macacos-Prego,Nugget Point,3
Mandacaru - Visitando o Farol Preguiças,Nugget Point,2
Amanhecer em El Chaltén - Mirador de Los Condores,Nugget Point,1
Atins - O Famoso Camarão da Luzia,Nugget Point,1
Santiago - Palacio de la Moneda,O'Higgins (região),8
Revelando a Foto - Moldura no Central Park,O'Higgins (região),6
Porque Gostamos de Voar pela LAN,O'Higgins (região),5
Revelando a Foto - Forrest Gump Point e Monument Valley,O'Higgins (região),5
Tiradentes - Restaurante Archote Clube,O'Higgins (região),5
Santiago - Museu de Arte Pré-Colombiana Fechado para Reforma,Oasisamérica,7
Revelando a Foto - Lago do Tauá Grande Hotel de Araxá,Oasisamérica,3
Revelando a Foto - Paisagem da Alaska Railroad,Oasisamérica,3
Chapada dos Guimarães - Mirante do Centro Geodésico,Oasisamérica,2
Santiago - Bairro Paris-Londres,Oasisamérica,2
Caeté - Serra da Piedade,Observatório Nacional de Kitt Peak,11
Livro - Papo de Viagem & Outras Histórias de Bar,Observatório Nacional de Kitt Peak,4
Revelando a Foto - Forrest Gump Point e Monument Valley,Observatório Nacional de Kitt Peak,4
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Observatório Nacional de Kitt Peak,4
Revelando a Foto - Coiote no Yellowstone National Park,Observatório Nacional de Kitt Peak,3
Revelando a Foto - Romance em NY,Observatório de Torre Alta da Amazônia,4
Revelando a Foto - Moldura no Central Park,Observatório de Torre Alta da Amazônia,3
Serra do Cipó - Trilha para Cachoeira da Farofa,Observatório de Torre Alta da Amazônia,3
El Chaltén - Trilha para o Chorrillo del Salto,Observatório de Torre Alta da Amazônia,3
Revelando a Foto - Pescador na Praia Vermelha,Observatório de Torre Alta da Amazônia,2
Atacama - Salar de Tara,Ojos del Salado,9
Seward a Anchorage - Viajando de Trem pela Alaska Railroad,Ojos del Salado,8
Atacama e Salar de Uyuni - Roteiro,Ojos del Salado,6
Atacama - Geisers Del Tatio,Ojos del Salado,4
Islândia - Como Dirigir,Ojos del Salado,3
Atacama e Salar de Uyuni - Roteiro,Olca,5
Revelando a Foto - Vitral,Olca,5
Vídeo - Episódio Hierbas Buenas e Valle del Arcoiris,Olca,5
Vídeo - Episódio Salar de Atacama,Olca,4
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Olca,2
Revelando a Foto - Old Faithful Geyser,Old Faithful,54
Santiago - Tirando suas dúvidas - Ask me,Old Faithful,11
"Puerto Varas - Restaurante, Cafeteria e Chocolateria Cassis",Old Faithful,10
Santiago - Restaurante Fukai Sushi Lounge and Asian Bistro,Old Faithful,10
29 de Fevereiro - Leap Day,Old Faithful,9
Atacama - Salar de Tara,Ollagüe (vulcão),20
Atacama - Tour do Vinho,Ollagüe (vulcão),5
Vídeo - Episódio Salar de Atacama,Ollagüe (vulcão),3
Atacama e Salar de Uyuni - Roteiro,Ollagüe (vulcão),2
Chapada dos Guimarães - Mirante do Centro Geodésico,Ollagüe (vulcão),2
Aparecida - Passeando de Bondinho,Once Were Warriors,1
Barcelona - Bicing,Once Were Warriors,1
Santiago - Restaurante Aquí Está Coco,Once Were Warriors,1
Santiago - Restaurante Liguria,Once Were Warriors,1
Circuito W - A Chegada ao Parque Torres del Paine,Oregon Trail,6
Circuito W - Las Torres del Paine,Oregon Trail,6
Kenai Fjords National Park - Trilha para o Harding Icefield,Oregon Trail,6
Circuito W - Vale Francês,Oregon Trail,4
El Calafate - Passeio de Barco por Todos Los Glaciares,Oregon Trail,4
El Calafate - Mini Trekking no Perito Moreno,Orla do Guaíba,8
Puerto Natales - Um descanso antes do Circuito W,Orla do Guaíba,4
El Calafate - Passeio de Barco por Todos Los Glaciares,Orla do Guaíba,2
El Chaltén - Lago del Desierto e Glaciar Huemul,Orla do Guaíba,2
Puerto Montt - Explorando a Região Portuária,Orla do Guaíba,2
"Saltos del Petrohué, linda paisagem da Região dos Lagos do Chile",Osorno (província),30
Vulcão Osorno - Subindo o Vulcão,Osorno (província),6
Puerto Octay - Restaurante Rancho Espantapájaros,Osorno (província),5
Verão no Chile - Cuidado com os Tábanos,Osorno (província),5
Revelando a Foto - Escadas da Sagrada Família,Osorno (província),4
Vulcão Osorno - Subindo o Vulcão,Osorno (vulcão),78
"Puerto Varas - Verão, Calor e Vulcões",Osorno (vulcão),77
Atacama - Valle del Arcoiris,Osorno (vulcão),56
Atacama - Salar de Atacama,Osorno (vulcão),54
Vídeo - Episódio Salar de Atacama,Osorno (vulcão),54
Belo Horizonte - Mirante do Mangabeiras,Otago,3
Hobbiton - Cidade dos Hobbits na Nova Zelândia,Otago,3
Nova Zelândia - O Incrível Azul das Blue Pools,Otago,3
Santiago - Entardecer no Cerro San Cristóbal,Otago,3
Nova Zelândia - Visitando Wanaka,Otago,2
Vídeo - Episódio Maria Fumaça em Campinas,Pablo Lucero,2
Curitiba - Passeio pelo Centro Histórico,Pablo Lucero,1
"Puerto Varas - Restaurante, Cafeteria e Chocolateria Cassis",Pablo Lucero,1
Revelando a Foto - São João em São Luís,Pablo Lucero,1
São Luís - Um Olhar Fotográfico pelo Centro Histórico,Pablo Lucero,1
Santiago - Palacio de la Moneda,Pacific Crest Trail,8
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",Pacific Crest Trail,4
Paso Córdoba - De San Martín de los Andes a Bariloche,Pacific Crest Trail,4
Revelando a Foto - Brasil x Chile na Copa,Pacific Crest Trail,4
Santiago - Catedral Metropolitana de Santiago,Pacific Crest Trail,4
Inhotim - Em Busca da Flor Cadáver,Paepalanthus chiquitensis,6
Revelando a Foto - Flores no Epcot,Paepalanthus chiquitensis,5
Santiago - Restaurante Liguria,Paepalanthus chiquitensis,3
Bariloche - Restaurante La Lola,Paepalanthus chiquitensis,2
Frutillar - Em Preto e Branco,Paepalanthus chiquitensis,2
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Pahiatua,1
Aparecida - Passeando de Bondinho,Pahiatua,1
El Calafate - Tour ao Glaciar Perito Moreno,Pahiatua,1
Seward Highway - Entre Montanhas e Glaciares no Alasca,Pahiatua,1
"Vídeo de Mariana, Minas Gerais",Pahiatua,1
Revelando a Foto - Vulcão Osorno,Paiutes,2
Santiago - Tirando suas dúvidas - Ask me,Paiutes,2
Aparecida - Passeando de Bondinho,Paiutes,1
Chapada dos Guimarães - Mirante Morro dos Ventos,Paiutes,1
Curitiba - Artesanilo Café Bistrô,Paiutes,1
Bariloche - Cerro Tronador e Cascada los Alerces,Palena (província),2
Revelando a Foto - Frutillar,Palena (província),2
Revelando a Foto - Polarizador no Riacho do Glaciar Huemul,Palena (província),2
Bariloche - Post Índice,Palena (província),1
Revelando a Foto - Delicate Arch,Palena (província),1
Atacama - Salar de Tara,Paleontologia na Pensilvânia,11
,Paleontologia na Pensilvânia,10
Revelando a Foto - Grand Prismatic Spring,Paleontologia na Pensilvânia,8
Santiago - Tirando suas dúvidas - Ask me,Paleontologia na Pensilvânia,7
Porque Gostamos de Voar pela LAN,Paleontologia na Pensilvânia,6
"Puerto Varas - Restaurante, Cafeteria e Chocolateria Cassis",Palmerston North,1
Washington DC - Hotel Capital Hilton,Palmerston North,1
Santiago - Vinícola Concha y Toro,Pampa,4
Belo Horizonte - Caminhada da Lua Cheia,Pampa,2
Blogagem Coletiva - 12 Posts Especiais de 2012,Pampa,2
Blogueiros Por Minas - Parque Estadual do Rio Doce,Pampa,2
Circuito W - A Chegada ao Parque Torres del Paine,Pampa,1
Atacama - Valle del Arcoiris,Pampa do Tamarugal,4
Atacama - Geisers Del Tatio,Pampa do Tamarugal,2
Atacama - Tour do Vinho,Pampa do Tamarugal,2
Belo Horizonte - Lua Cheia no Museu 2013,Pampa do Tamarugal,2
Belo Horizonte - Mirante do Mangabeiras,Pampa do Tamarugal,2
Seward a Anchorage - Viajando de Trem pela Alaska Railroad,Panhandle do Alasca,4
Puerto Montt - Palafitos de Angelmó - Restaurante 9,Panhandle do Alasca,2
De Anchorage ao Denali - Dirigindo pela Alaska Highway 3,Panhandle do Alasca,1
El Calafate - Passeio de Barco por Todos Los Glaciares,Panhandle do Alasca,1
Revelando a Foto - Reflexos no Barco,Panhandle do Alasca,1
"Ponta do Campestre, linda vista da Chapada dos Guimarães",Pantanal,2
Routeburn Track - Do Routeburn Shelter ao Routeburn Falls Hut,Pantanal,2
Vídeo - Episódio Casa da Quineira,Pantanal,2
Vídeo - Episódio Chapada dos Guimarães,Pantanal,2
Vídeo - Episódio Mirante do Centro Geodésico,Pantanal,2
Parque Estadual do Rio Preto - Como Planejar sua Viagem,Panthera onca,2
Aparecida - Passeando de Bondinho,Papatoetoe,2
Barcelona - Bicing,Papatoetoe,2
Revelando a Foto - Grand Prismatic Spring,Papatoetoe,2
Revelando a Foto - Jokhang Temple em Lhasa,Papatoetoe,2
Revelando a Foto - Mirante do Centro Geodésico,Papatoetoe,2
Revelando a Foto - Vulcão Osorno,Parinacota (província),5
Villa Traful - Um Desvio Prazeroso na Rota dos Sete Lagos,Parinacota (província),3
Frutillar - Museo Colonial Alemán,Parinacota (província),2
"Saltos del Petrohué, linda paisagem da Região dos Lagos do Chile",Parinacota (província),2
Verão no Chile - Cuidado com os Tábanos,Parinacota (província),2
Revelando a Foto - Government Gardens em Rotorua,Parlamento da Nova Zelândia,16
Revelando a Foto - Moldura no Central Park,Parlamento da Nova Zelândia,13
Revelando a Foto - Snake River Overlook,Parlamento da Nova Zelândia,12
Revelando a Foto - Textura no Yellowstone,Parlamento da Nova Zelândia,12
Routeburn Track - Do Lake Mackenzie Hut ao The Divide,Parlamento da Nova Zelândia,12
Blogueiros Por Minas - Parque Estadual do Rio Doce,Parque Aggeo Pio Sobrinho,3
Parque Estadual do Rio Preto - Como Planejar sua Viagem,Parque Aggeo Pio Sobrinho,2
Barcelona - Mercat de la Boqueria,Parque Aggeo Pio Sobrinho,1
Kenai Fjords National Park - Passeio de Barco no Alasca,Parque Aggeo Pio Sobrinho,1
Tiradentes - Restaurante Archote Clube,Parque Aggeo Pio Sobrinho,1
Revelando a Foto - Barco no Lago Espejo Chico,Parque Alexander Brandt,2
São Paulo - Hotel Quality Suites Oscar Freire,Parque Alexander Brandt,2
Belo Horizonte - Restaurante do Porto,Parque Alexander Brandt,1
Curitiba - Cupcake Company,Parque Alexander Brandt,1
Bariloche - Restaurante Jauja,Parque Alim Pedro,2
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Parque Alim Pedro,2
"Ponta do Campestre, linda vista da Chapada dos Guimarães",Parque Alim Pedro,2
Puerto Montt - Explorando a Região Portuária,Parque Alim Pedro,2
Puerto Natales - Pizzaria Mesita Grande,Parque Alim Pedro,2
Revelando a Foto - Outubro Rosa,Parque Atuba,5
El Chalten - Trilha para a Laguna del Diablo,Parque Atuba,2
Curitiba - Passeio pelo Centro Histórico,Parque Atuba,1
El Chalten - Trilha para a Loma del Pliegue Tumbado,Parque Atuba,1
Puerto Montt - Explorando a Região Portuária,Parque Atuba,1
Santiago - Cerro San Cristóbal,Parque Bacacheri,4
Vassouras - Pequenos Lençóis,Parque Bacacheri,2
Revelando a Foto - Denali Park Road,Parque Bacacheri,1
Revelando a Foto - Mesa Arch,Parque Barigui,8
Bariloche - Restaurante Jauja,Parque Barigui,2
Bariloche - Um Hotel de Encher os Olhos,Parque Barigui,2
Revelando a Foto - Orca no Sea World,Parque Barigui,2
Seward - Alaska SeaLife Center,Parque Barigui,2
Puerto Montt - Diversão para as Crianças,Parque Bernardo Berneck,4
Revelando a Foto - Frutillar,Parque Bernardo Berneck,2
Tauá Grande Hotel e Termas de Araxá,Parque Bernardo Berneck,2
Blogagem Coletiva - 12 Posts Especiais de 2012,Parque Botânico de São Luís,2
Dicas - Como se Comportar em Habitats de Ursos,Parque Chico Mendes,5
Revelando a Foto - Monument Valley,Parque Chico Mendes,4
Frutillar - Um Pedaço da Alemanha no Chile,Parque Chico Mendes,3
Revelando a Foto - Parc Guell,Parque Chico Mendes,3
Frutillar - Cidade Musical,Parque Chico Mendes,2
Revelando a Foto - Galpão Thá Cultural em Curitiba,Parque Diadema,5
Livro - Papo de Viagem & Outras Histórias de Bar,Parque Diadema,4
Curitiba - Passeio pelo Centro Histórico,Parque Diadema,4
Curitiba - Artesanilo Café Bistrô,Parque Diadema,3
Revelando a Foto - Monument Valley,Parque Diadema,2
Revelando a Foto - Barco no Lago Espejo Chico,Parque Ecológico Doutor Sebastião Gomes Guimarães,2
Palmas - Pôr do Sol na Ilha da Canela,Parque Ecológico Doutor Sebastião Gomes Guimarães,1
Revelando a Foto - São João em São Luís,Parque Ecológico Doutor Sebastião Gomes Guimarães,1
"Vídeo de Mariana, Minas Gerais",Parque Ecológico Doutor Sebastião Gomes Guimarães,1
Seward Highway - Alaska Wildlife Conservation Center,Parque Ecológico Padre Alfredo Sabetta (Parque Teixeira Dias),7
Belo Horizonte - Lua Cheia no Museu 2013,Parque Ecológico Padre Alfredo Sabetta (Parque Teixeira Dias),3
Fernando de Noronha - Parque Nacional Marinho,Parque Ecológico Padre Alfredo Sabetta (Parque Teixeira Dias),2
Revelando a Foto - Moldura de Paisagem,Parque Ecológico Padre Alfredo Sabetta (Parque Teixeira Dias),2
Revelando a Foto - Parc Guell,Parque Ecológico Padre Alfredo Sabetta (Parque Teixeira Dias),2
Bariloche - Centro Cívico,Parque Ecológico Promotor Francisco Lins do Rego,2
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Parque Ecológico Promotor Francisco Lins do Rego,2
Belo Horizonte - Degustação de Sorvetes na Alessa,Parque Ecológico Promotor Francisco Lins do Rego,2
Belo Horizonte - Memorial Minas Gerais - Vale,Parque Ecológico Promotor Francisco Lins do Rego,2
Caeté - Serra da Piedade,Parque Ecológico Promotor Francisco Lins do Rego,2
Blogagem Coletiva - 12 Posts Especiais de 2012,Parque Ecológico Quedas do Rio Bonito,6
Bariloche - Isla Victoria y Bosque de Arrayanes,Parque Ecológico Quedas do Rio Bonito,4
Chile - Não Durma no Voo,Parque Ecológico Quedas do Rio Bonito,2
Bariloche - Post Índice,Parque Ecológico Quedas do Rio Bonito,1
Revelando a Foto - Moldura no Central Park,Parque Ecológico Quedas do Rio Bonito,1
Mariana - Um Passeio Pela Cidade Histórica,Parque Ecológico Renato Azeredo,4
Revelando a Foto - Pão de Açúcar,Parque Ecológico Renato Azeredo,3
Revelando a Foto - Basílica de Nossa Senhora Aparecida,Parque Ecológico Renato Azeredo,2
Revelando a Foto - Praia da Cacimba do Padre,Parque Ecológico Renato Azeredo,2
Revelando a Foto - Pássaro em San Francisco,Parque Ecológico Renato Azeredo,2
Alasca - Denali Morning Hostel,Parque Ecológico São Sebastião,4
Alasca - Visitando o Denali National Park and Preserve,Parque Ecológico São Sebastião,2
Kenai Fjords National Park - Passeio de Barco no Alasca,Parque Ecológico São Sebastião,2
Valle Nevado Ski Resort - Conhecendo a Estação de Esqui,Parque Ecológico São Sebastião,2
Islândia - Como Organizar uma Viagem de Campervan,Parque Ecológico São Sebastião,1
Fernando de Noronha - Parque Nacional Marinho,Parque Ecológico Vila Pinho,4
Aparecida - Passeando de Bondinho,Parque Ecológico Vila Pinho,1
